Наименование товара;Цена розничная;Минимальная партия, шт;Количество в упаковке;Изображение;Производитель
Напиток пив«CHESTER`S»(алк.5%,ягод)0.45л;2.32;0;20;https://img.unistore.by/UserFiles/images/catalog/Goods/0032/01790032/norm/thumbs/01790032.n_1_1000x1000.png.jpg?1684787408;Chester's
Пивной напиток «Кроненбург 1664 Розе» 4.5%, 0.46 л, Россия;2.66;3;20;https://img.unistore.by/UserFiles/images/catalog/Goods/8989/01408989/norm/thumbs/01408989.n_1_1000x1000.png.jpg?1684765809;стекло
Пиво светлое «Brauberg» Original, 4%, 1.9 л, Беларусь;3.4;6;6;https://img.unistore.by/UserFiles/images/catalog/Goods/3005/01243005/norm/thumbs/01243005.n_1_1000x1000.png.jpg?1684701005;ОАО «Криница» 220070, г. Минск, ул. Радиальная, д. 52, Беларусь.
Пиво«BRAUBERG»(ПЭТ)1.9л;3.68;3;6;https://img.unistore.by/UserFiles/images/catalog/Goods/7086/00997086/norm/thumbs/00997086.n_1_1000x1000.png.jpg?1684794606;Криница
Пиво «Tuborg Green» 4.6%, 1 л, Беларусь;3.7;12;12;https://img.unistore.by/UserFiles/images/catalog/Goods/6312/01126312/norm/thumbs/01126312.n_1_1000x1000.png.jpg?1684765809;ПИВОВАРЕННАЯ КОМПАНИЯ АЛИВАРИЯ
Пиво «Koronet» Pub Draught, светлое, 4.7%, 1.136 л, Беларусь;3.79;6;12;https://img.unistore.by/UserFiles/images/catalog/Goods/9003/01159003/norm/thumbs/01159003.n_1_1000x1000.png.jpg?1684794606;пластик
Пивной напиток «Zatecky Gus» Cerny, 3.5%, 1.35 л, Россия;4.6899999999999995;9;9;https://img.unistore.by/UserFiles/images/catalog/Goods/8991/01408991/norm/thumbs/01408991.n_1_1000x1000.png.jpg?1684794606;35 ккал/ 145 кДж
Пиво «Балтика, №0 лайм, безалкогольное, 0.33 л, Беларусь;1.3900000000000001;1;24;https://img.unistore.by/UserFiles/images/catalog/Goods/4721/01124721/norm/thumbs/01124721.n_1_1000x1000.png.jpg?1684794606;БАЛТИКА
Напиток пивной «Garage» Hardcore Grapefruit, 6.0%, 0.4 л;1.97;1;20;https://img.unistore.by/UserFiles/images/catalog/Goods/1783/01401783/norm/thumbs/01401783.n_1_1000x1000.png.jpg?1684794606;стекло
Коктейль пивной «Лидское» Hard Cherry Lemonade, 4.6%, 0.45 л, Беларусь;1.99;1;24;https://img.unistore.by/UserFiles/images/catalog/Goods/2300/01172300/norm/thumbs/01172300.n_1_1000x1000.png.jpg?1684765809;ж/банка
Коктейль пивной «Лидское» Hard Mango Lemonade, 4.6%, 0.45 л, Беларусь;1.99;1;24;https://img.unistore.by/UserFiles/images/catalog/Goods/2292/01172292/norm/thumbs/01172292.n_1_1000x1000.png.jpg?1684765809;ж/банка
Пивной напиток «Lidskae» Hard Lemonade, 4.6%, 0.5 л, Беларусь;1.99;1;20;https://img.unistore.by/UserFiles/images/catalog/Goods/2495/01472495/norm/thumbs/01472495.n_1_1000x1000.png.jpg?1684765809;стекло
Напиток пивной «Garage» Black Cherry, 4.6%, 0.4 л;2.05;1;20;https://img.unistore.by/UserFiles/images/catalog/Goods/1745/01401745/norm/thumbs/01401745.n_1_1000x1000.png.jpg?1684794606;60 ккал/ 250 кДж
Пивной напиток газированный «J.Hardy» вишня, 4.6%, 0.45 л, Беларусь;2.09;6;20;https://img.unistore.by/UserFiles/images/catalog/Goods/1373/01171373/norm/thumbs/01171373.n_1_1000x1000.png.jpg?1684765809;стекло
Пиво «Аливария» безалкоголкогольное, светлое, 0.45 л, Россия;2.09;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/7459/01477459/norm/thumbs/01477459.n_1_1000x1000.png.jpg?1684765809;ж/банка
